text,is_emergency
Dealing with some blurred vision and throat tightness today. Not sure if it's a hard workout or something more. Any advice?,0
I stepped outside for air for the bad shaking but when throat swelling started I went to the ER. Turned out to be anxiety. Feeling much better now.,0
My dad says the sweating has been there since yesterday. They stepped outside for air. Does this sound serious?,0
My coworker collapsed — intense arm pain and vision darkening at the edges. Rushed to the ER. Paramedics checked me over and said it was low blood sugar. What a scare.,0
My mom had bad chest pressure and jaw pain alongside the chest pain — we called 911. Urgent care said it was a stressful week. Relieved it wasn't more serious.,0
Crushing sweating and pain radiating to my left arm came on suddenly. I was convinced it was serious. After all the tests they cleared me — just seasonal allergies.,0
Dealing with concerning shortness of breath and vomiting today. Not sure if it's alcohol last night or something more. Should I be worried?,0
The one side of my face feels strange plus terrible confusion had me in a panic. Went straight to urgent care. Doctors said it was just a cold. Back home and resting.,0
Experiencing a bit of severe headache that came on earlier today. I lay down. Not sure what to do.,0
My coworker collapsed — severe nausea and difficulty forming words. Rushed to the ER. Turned out to be a cold. Feeling much better now.,0
Having bad shaking that started a little while ago. I took antacids. Any advice?,0
I stepped outside for air for the sharp vomiting but when difficulty forming words started I went to the ER. After all the tests they cleared me — just a panic attack.,0
Both chest pressure and shaking today — think it's the heat outside. Passed on its own after an hour.,0
Dealing with mild throat tightness from acid reflux. I drank some water and ibuprofen helped.,0
Having concerning arm pain that started a little while ago. I stepped outside for air. Should I be worried?,0
Had some tingling today — pretty sure it's just sitting too long. Passed on its own after an hour.,0
My roommate has terrible sweating and vision darkening at the edges. They took ibuprofen but I'm really worried about it. Is this something to see a doctor about?,1
Sharp severe headache and lightheadedness since earlier. I took deep breaths. Nothing seems to be helping. Any advice?,1
Had a bit of abdominal pain today — pretty sure it's just anxiety. Passed on its own after an hour.,0
"Terrible weakness and chest pain, plus can't catch my breath at all. Called an ambulance. After all the tests they cleared me — just a hard workout.",0
Had a bit of seeing spots today — pretty sure it's just postural hypotension. Passed on its own after an hour.,0
The shaking comes and goes when I'm stressed. Probably skipping meals. Much better after lying down.,0
The pain radiating to my left arm plus sharp numbness had me in a panic. Went straight to urgent care. After all the tests they cleared me — just a hard workout.,0
Some lightheadedness today. I stepped outside for air. Still not sure if this is normal. Does this sound serious?,0
I sat down for the concerning dizziness but when numbness on my left side started I went to the ER. After all the tests they cleared me — just stress.,0
Had slight severe headache today — pretty sure it's just the heat outside. Feeling better now.,0
Dealing with slight disorientation from a cold. I had a snack and it went away after i rested.,0
Noticing moderate throat tightness since this morning. I took deep breaths but I'm not sure it helped. Has anyone else experienced this?,0
The severe headache comes and goes when I'm stressed. Probably skipping meals. Feeling better now.,0
Concerning nausea and one side of my face feels strange came on suddenly. I was convinced it was serious. Urgent care said it was a hard workout. Relieved it wasn't more serious.,0
A bit of chest pressure today. I sat down. Still not sure if this is normal. Does this sound serious?,0
Dealing with some difficulty breathing and stomach cramps today. Not sure if it's not sleeping enough or something more. Should I call my doctor?,1
My friend collapsed — intense shortness of breath and numbness on my left side. Rushed to the ER. After all the tests they cleared me — just too much caffeine.,0
The numbness on my left side plus bad arm pain had me in a panic. Went straight to urgent care. Turned out to be skipping meals. Feeling much better now.,0
Concerning weakness and vision darkening at the edges came on suddenly. I was convinced it was serious. Urgent care said it was skipping meals. Relieved it wasn't more serious.,0
Woke up with slight vomiting. Probably postural hypotension. Better after drinking water.,0
The numbness started after eating too fast. I rested and it passed.,0
My child has moderate seeing spots. They had a snack but it hasn't fully resolved. Does this sound serious?,0
Dealing with mild confusion from seasonal allergies. I drank some water and passed on its own after an hour.,0
Both blurred vision and difficulty breathing today — think it's the heat outside. Much better after lying down.,0
Significant chest pain today. I sat down. Still not sure if this is normal. Has anyone else experienced this?,0
Had some seeing spots and difficulty breathing for the past few hours. Any advice?,0
Woke up with significant feeling faint. Could be seasonal allergies but I'm not certain. Should I be worried?,0
The jaw pain has been on and off all day. Possibly the heat outside. Should I be worried?,0
"Crushing disorientation and trembling, plus numbness on my left side. Called an ambulance. My doctor said it was a stressful week and nothing to worry about.",0
My coworker collapsed — sharp heart pounding and throat swelling. Rushed to the ER. The ER ran tests and said it was acid reflux. Discharged after two hours.,0
My roommate says the racing heart has been there since yesterday. They took ibuprofen. Any advice?,1
My wife has had sharp stomach cramps for hours. They stepped outside for air but it keeps coming back. Now can't catch my breath at all. Should I call my doctor?,1
The confusion has been on and off all day. Possibly postural hypotension. Any advice?,0
Dealing with mild vomiting from stress. I rested and feeling better now.,0
The chest pain started after a panic attack. I took ibuprofen and it passed.,0
Severe feeling faint and throbbing headache since earlier. I drank some water. I'm really worried about it. Is this something to see a doctor about?,1
Dealing with some jaw pain from skipping meals. I took ibuprofen and much better after lying down.,0
Woke up with minor severe headache. Probably a stressful week. Much better after lying down.,0
Woke up with minor confusion. Probably dehydration. Better after drinking water.,0
Some blurred vision today. I had a snack. Still not sure if this is normal. Not sure what to do.,0
Dealing with concerning trouble breathing and dizziness today. Not sure if it's the heat outside or something more. Is this something to see a doctor about?,0
Noticing slight chest pain since this morning. I rested but I'm not sure it helped. Not sure what to do.,0
Severe stomach cramps and difficulty forming words came on suddenly. I was convinced it was serious. Turned out to be skipping meals. Feeling much better now.,0
Woke up with concerning trembling. Could be not sleeping enough but I'm not certain. Should I call my doctor?,0
Had slight severe headache today — pretty sure it's just postural hypotension. Ibuprofen helped.,0
My husband collapsed — crushing cold sweats and throat swelling. Rushed to the ER. Urgent care said it was skipping meals. Relieved it wasn't more serious.,0
Dealing with a bit of weakness from a hard workout. I had a snack and it went away after i rested.,0
My friend had intense shortness of breath and jaw pain alongside the chest pain — we called 911. Doctors said it was just anxiety. Back home and resting.,0
The heart pounding has been on and off all day. Possibly dehydration. Should I be worried?,0
The jaw pain alongside the chest pain plus crushing chest pressure had me in a panic. Went straight to urgent care. Urgent care said it was a panic attack. Relieved it wasn't more serious.,0
Noticing bad difficulty breathing since this morning. I sat down but I'm not sure it helped. Any advice?,0
The cold sweats started after sitting too long. I lay down and it passed.,0
Bad seeing spots and difficulty forming words came on suddenly. I was convinced it was serious. Doctors said it was just acid reflux. Back home and resting.,0
I rested for the intense dizziness but when one side of my face feels strange started I went to the ER. Doctors said it was just skipping meals. Back home and resting.,0
Intense feeling faint and jaw pain alongside the chest pain came on suddenly. I was convinced it was serious. Turned out to be eating too fast. Feeling much better now.,0
Woke up with significant chest pain. Could be not sleeping enough but I'm not certain. Any advice?,0
Having intense jaw pain and racing heart. Also one side of my face feels strange. I rested but nothing seems to be helping. Not sure what to do.,1
"Severe chest pain and tingling, plus pain radiating to my left arm. Called an ambulance. Turned out to be seasonal allergies. Feeling much better now.",0
The throbbing headache comes and goes when I'm stressed. Probably sitting too long. It went away after I rested.,0
Dealing with a bit of numbness from stress. I stepped outside for air and ibuprofen helped.,0
Woke up with mild lightheadedness. Probably anxiety. Passed on its own after an hour.,0
Had some jaw pain today — pretty sure it's just a stressful week. Much better after lying down.,0
I stepped outside for air for the sharp weakness but when one side of my face feels strange started I went to the ER. Paramedics checked me over and said it was a stressful week. What a scare.,0
The rapid heart rate comes and goes when I'm stressed. Probably skipping meals. It went away after I rested.,0
I sat down for the moderate weakness but when numbness on my left side started I went to the ER. Doctors said it was just seasonal allergies. Back home and resting.,0
A bit of racing heart all afternoon. Think it's too much caffeine. It went away after I rested.,0
Experiencing concerning weakness that came on earlier today. I took antacids. Is this something to see a doctor about?,1
Started with severe jaw pain this morning. I took deep breaths but it keeps coming back. Now one side of my face feels strange. Should I be worried?,1
The difficulty breathing comes and goes when I'm stressed. Probably dehydration. Much better after lying down.,0
Experiencing concerning seeing spots that came on earlier today. I took deep breaths. Has anyone else experienced this?,0
Had mild confusion today — pretty sure it's just the heat outside. It went away after I rested.,0
Had slight heart pounding today — pretty sure it's just low blood sugar. Feeling better now.,0
My dad has had severe shaking for hours. They lay down but it's not going away. Now throat swelling. Has anyone else experienced this?,1
Some racing heart today. I took ibuprofen. Still not sure if this is normal. Has anyone else experienced this?,1
Dealing with significant confusion and stomach cramps today. Not sure if it's sitting too long or something more. Should I be worried?,0
I stepped outside for air for the terrible sweating but when difficulty forming words started I went to the ER. The ER ran tests and said it was dehydration. Discharged after two hours.,0
I lay down for the concerning sweating but when can't catch my breath at all started I went to the ER. Urgent care said it was low blood sugar. Relieved it wasn't more serious.,0
Had mild confusion and dizziness for the past few hours. Has anyone else experienced this?,0
Having bad cold sweats that started a little while ago. I took ibuprofen. Should I call my doctor?,0
Intense abdominal pain and jaw pain alongside the chest pain came on suddenly. I was convinced it was serious. Urgent care said it was dehydration. Relieved it wasn't more serious.,0
Had slight racing heart and throbbing headache for the past few hours. Should I be worried?,0
Dealing with some tingling from stress. I stepped outside for air and feeling better now.,0
My dad collapsed — sharp arm pain and numbness on my left side. Rushed to the ER. Doctors said it was just a cold. Back home and resting.,0
I sat down for the intense numbness but when jaw pain alongside the chest pain started I went to the ER. Turned out to be alcohol last night. Feeling much better now.,0
"Moderate difficulty breathing and chest pain, plus throat swelling. Called an ambulance. After all the tests they cleared me — just alcohol last night.",0
The seeing spots comes and goes when I'm stressed. Probably dehydration. Better after drinking water.,0
Woke up with mild trouble breathing. Probably a hard workout. Feeling better now.,0
Had severe chest pressure with vision darkening at the edges so I went to the ER. My doctor said it was anxiety and nothing to worry about.,0
The jaw pain comes and goes when I'm stressed. Probably a stressful week. It went away after I rested.,0
My mom had significant shaking and numbness on my left side — we called 911. My doctor said it was stress and nothing to worry about.,0
Dealing with mild cold sweats from not sleeping enough. I took antacids and ibuprofen helped.,0
The jaw pain alongside the chest pain plus intense shortness of breath had me in a panic. Went straight to urgent care. Turned out to be low blood sugar. Feeling much better now.,0
My wife had sharp tingling and pain radiating to my left arm — we called 911. After all the tests they cleared me — just acid reflux.,0
I took deep breaths for the bad confusion but when one side of my face feels strange started I went to the ER. After all the tests they cleared me — just a panic attack.,0
Woke up with moderate stomach cramps. Could be alcohol last night but I'm not certain. Does this sound serious?,0
Slight severe headache all afternoon. Think it's too much caffeine. Much better after lying down.,0
My mom says the nausea has been there since yesterday. They lay down. Has anyone else experienced this?,0
"Significant weakness and heart pounding, plus numbness on my left side. Called an ambulance. Paramedics checked me over and said it was eating too fast. What a scare.",0
The vision darkening at the edges plus concerning dizziness had me in a panic. Went straight to urgent care. After all the tests they cleared me — just a cold.,0
I stepped outside for air for the significant trembling but when difficulty forming words started I went to the ER. After all the tests they cleared me — just postural hypotension.,0
My mom has had bad stomach cramps for hours. They took antacids but nothing seems to be helping. Now difficulty forming words. Should I be worried?,1
The chest pressure comes and goes when I'm stressed. Probably dehydration. Feeling better now.,0
Some tingling all afternoon. Think it's dehydration. Feeling better now.,0
My child had significant tingling and difficulty forming words — we called 911. Urgent care said it was too much caffeine. Relieved it wasn't more serious.,0
Woke up with some severe headache. Could be a hard workout but I'm not certain. Does this sound serious?,0
The chest tightness has been on and off all day. Possibly anxiety. Is this something to see a doctor about?,0
Had a bit of shaking today — pretty sure it's just postural hypotension. Much better after lying down.,0
My friend had terrible tingling and can't catch my breath at all — we called 911. Doctors said it was just alcohol last night. Back home and resting.,0
My coworker says the feeling faint has been there since yesterday. They took deep breaths. Does this sound serious?,1
Dealing with some weakness and shortness of breath today. Not sure if it's sitting too long or something more. Any advice?,1
Noticing concerning weakness since this morning. I sat down but I'm not sure it helped. Any advice?,0
Dealing with minor trouble breathing from a panic attack. I took ibuprofen and feeling better now.,0
Had moderate shaking with difficulty forming words so I went to the ER. After all the tests they cleared me — just postural hypotension.,0
Dealing with some dizziness from low blood sugar. I sat down and feeling better now.,0
Significant tingling today. I rested. Still not sure if this is normal. Has anyone else experienced this?,0
Dealing with minor abdominal pain from too much caffeine. I stepped outside for air and feeling better now.,0
"Moderate throat tightness and sweating, plus can't catch my breath at all. Called an ambulance. The ER ran tests and said it was too much caffeine. Discharged after two hours.",0
The tingling comes and goes when I'm stressed. Probably too much caffeine. Ibuprofen helped.,0
My wife has had moderate dizziness for hours. They took ibuprofen but it's lasting longer than expected. Now jaw pain alongside the chest pain. Is this something to see a doctor about?,1
"Intense confusion and trouble breathing, plus difficulty forming words. Called an ambulance. My doctor said it was skipping meals and nothing to worry about.",0
Dealing with some chest pain from the heat outside. I lay down and better after drinking water.,0
Had a bit of chest pain and vomiting for the past few hours. Has anyone else experienced this?,0
Having feeling faint and numbness on my left side. Tried rested but it's not going away. Not sure what to do.,1
My coworker had intense stomach cramps and vision darkening at the edges — we called 911. After all the tests they cleared me — just dehydration.,0
Experiencing some stomach cramps that came on earlier today. I drank some water. Has anyone else experienced this?,0
Sharp severe headache and numbness on my left side came on suddenly. I was convinced it was serious. Turned out to be alcohol last night. Feeling much better now.,0
The throbbing headache started after stress. I took deep breaths and it passed.,0
I lay down for the terrible vomiting but when throat swelling started I went to the ER. Turned out to be a stressful week. Feeling much better now.,0
The rapid heart rate comes and goes when I'm stressed. Probably low blood sugar. Much better after lying down.,0
Concerning weakness and can't catch my breath at all came on suddenly. I was convinced it was serious. The ER ran tests and said it was eating too fast. Discharged after two hours.,0
The seeing spots started after dehydration. I rested and it passed.,0
My mom had moderate rapid heart rate and jaw pain alongside the chest pain — we called 911. Paramedics checked me over and said it was a stressful week. What a scare.,0
"Significant chest tightness and shortness of breath, plus can't catch my breath at all. Called an ambulance. Paramedics checked me over and said it was stress. What a scare.",0
Slight seeing spots all afternoon. Think it's anxiety. Passed on its own after an hour.,0
The shaking started after not sleeping enough. I took antacids and it passed.,0
Moderate dizziness and throat swelling came on suddenly. I was convinced it was serious. Doctors said it was just seasonal allergies. Back home and resting.,0
Severe rapid heart rate with numbness on my left side. I tried drank some water but it's getting worse.,1
Had significant chest tightness with numbness on my left side so I went to the ER. Urgent care said it was a panic attack. Relieved it wasn't more serious.,0
My wife collapsed — bad blurred vision and pain radiating to my left arm. Rushed to the ER. Paramedics checked me over and said it was a panic attack. What a scare.,0
The arm pain comes and goes when I'm stressed. Probably postural hypotension. It went away after I rested.,0
The one side of my face feels strange plus concerning lightheadedness had me in a panic. Went straight to urgent care. My doctor said it was dehydration and nothing to worry about.,0
Noticing a bit of difficulty breathing since this morning. I rested but I'm not sure it helped. Does this sound serious?,0
Woke up with some stomach cramps. Probably alcohol last night. Passed on its own after an hour.,0
The jaw pain alongside the chest pain plus sharp severe headache had me in a panic. Went straight to urgent care. After all the tests they cleared me — just skipping meals.,0
Severe chest tightness and can't catch my breath at all came on suddenly. I was convinced it was serious. The ER ran tests and said it was the heat outside. Discharged after two hours.,0
Minor shortness of breath today. I took ibuprofen. Still not sure if this is normal. Not sure what to do.,0
The chest pressure has been on and off all day. Possibly alcohol last night. Is this something to see a doctor about?,0
Woke up with slight tingling. Could be a panic attack but I'm not certain. Should I be worried?,0
Dealing with some seeing spots and trembling today. Not sure if it's too much caffeine or something more. Should I be worried?,0
The feeling faint started after a stressful week. I rested and it passed.,0
Had a bit of dizziness today — pretty sure it's just eating too fast. Much better after lying down.,0
"Intense arm pain that started suddenly, and pain radiating to my left arm. I took ibuprofen but nothing seems to be helping. Should I be worried?",1
Both dizziness and rapid heart rate today — think it's alcohol last night. Feeling better now.,0
Dealing with some chest pain from dehydration. I drank some water and feeling better now.,0
Having concerning disorientation that started a little while ago. I took ibuprofen. Does this sound serious?,0
I sat down for the significant sweating but when numbness on my left side started I went to the ER. Doctors said it was just low blood sugar. Back home and resting.,0
Having concerning disorientation that started a little while ago. I lay down. Should I be worried?,0
The numbness on my left side plus sharp nausea had me in a panic. Went straight to urgent care. Paramedics checked me over and said it was sitting too long. What a scare.,0
Both abdominal pain and trouble breathing today — think it's stress. Better after drinking water.,0
Had severe severe headache with difficulty forming words so I went to the ER. After all the tests they cleared me — just the heat outside.,0
"Intense tingling that started suddenly, and throat swelling. I rested but it's lasting longer than expected. Should I call my doctor?",1
Having trembling and throat swelling. Tried stepped outside for air but it's not going away. Does this sound serious?,1
The difficulty forming words plus sharp chest pressure had me in a panic. Went straight to urgent care. Turned out to be postural hypotension. Feeling much better now.,0
The disorientation started after too much caffeine. I took ibuprofen and it passed.,0
Some chest pressure all afternoon. Think it's acid reflux. Passed on its own after an hour.,0
My coworker had significant numbness and vision darkening at the edges — we called 911. Urgent care said it was skipping meals. Relieved it wasn't more serious.,0
Started with terrible chest pain this morning. I took antacids but I'm really worried about it. Now numbness on my left side. Is this something to see a doctor about?,1
The throat swelling plus terrible vomiting had me in a panic. Went straight to urgent care. The ER ran tests and said it was a hard workout. Discharged after two hours.,0
My wife collapsed — concerning lightheadedness and pain radiating to my left arm. Rushed to the ER. My doctor said it was anxiety and nothing to worry about.,0
Woke up with minor blurred vision. Probably eating too fast. It went away after I rested.,0
Had some blurred vision today — pretty sure it's just skipping meals. It went away after I rested.,0
I took deep breaths for the moderate heart pounding but when pain radiating to my left arm started I went to the ER. My doctor said it was low blood sugar and nothing to worry about.,0
Both dizziness and stomach cramps today — think it's skipping meals. Feeling better now.,0
Significant feeling faint and can't catch my breath at all came on suddenly. I was convinced it was serious. Doctors said it was just alcohol last night. Back home and resting.,0
Dealing with concerning nausea and vomiting today. Not sure if it's stress or something more. Any advice?,0
The stomach cramps comes and goes when I'm stressed. Probably not sleeping enough. Much better after lying down.,0
Had a bit of numbness today — pretty sure it's just alcohol last night. Feeling better now.,0
"Bad chest tightness and weakness, plus difficulty forming words. Called an ambulance. Doctors said it was just too much caffeine. Back home and resting.",0
Slight throbbing headache all afternoon. Think it's eating too fast. Feeling better now.,0
Slight racing heart all afternoon. Think it's a hard workout. Feeling better now.,0
Dealing with some stomach cramps from low blood sugar. I took deep breaths and feeling better now.,0
Woke up with a bit of cold sweats. Probably anxiety. Feeling better now.,0
The vision darkening at the edges plus severe throat tightness had me in a panic. Went straight to urgent care. Paramedics checked me over and said it was sitting too long. What a scare.,0
Woke up with significant chest pain. Could be sitting too long but I'm not certain. Should I call my doctor?,1
Both chest tightness and severe headache today — think it's stress. Ibuprofen helped.,0
Experiencing slight rapid heart rate that came on earlier today. I had a snack. Is this something to see a doctor about?,0
Had bad tingling with one side of my face feels strange so I went to the ER. Urgent care said it was postural hypotension. Relieved it wasn't more serious.,0
Both rapid heart rate and arm pain today — think it's postural hypotension. It went away after I rested.,0
My neighbor collapsed — sharp vomiting and one side of my face feels strange. Rushed to the ER. Urgent care said it was alcohol last night. Relieved it wasn't more serious.,0
Had mild stomach cramps today — pretty sure it's just a panic attack. Feeling better now.,0
Dealing with mild disorientation from sitting too long. I sat down and feeling better now.,0
My friend collapsed — sharp disorientation and can't catch my breath at all. Rushed to the ER. Doctors said it was just dehydration. Back home and resting.,0
The jaw pain started after seasonal allergies. I took antacids and it passed.,0
Severe abdominal pain and one side of my face feels strange came on suddenly. I was convinced it was serious. Doctors said it was just a stressful week. Back home and resting.,0
My dad has mild blurred vision. They took ibuprofen but it hasn't fully resolved. Is this something to see a doctor about?,1
Both nausea and trouble breathing today — think it's seasonal allergies. Much better after lying down.,0
Had slight confusion today — pretty sure it's just stress. Passed on its own after an hour.,0
The chest pressure has been on and off all day. Possibly anxiety. Not sure what to do.,1
My mom says the throat tightness has been there since yesterday. They drank some water. Does this sound serious?,0
A bit of throat tightness all afternoon. Think it's a hard workout. Better after drinking water.,0
Dealing with some rapid heart rate from not sleeping enough. I rested and much better after lying down.,0
Woke up with mild chest pain. Probably the heat outside. Passed on its own after an hour.,0
The throat swelling plus sharp lightheadedness had me in a panic. Went straight to urgent care. Urgent care said it was a stressful week. Relieved it wasn't more serious.,0
My child had intense stomach cramps and can't catch my breath at all — we called 911. Urgent care said it was postural hypotension. Relieved it wasn't more serious.,0
Noticing concerning confusion since this morning. I took ibuprofen but I'm not sure it helped. Should I call my doctor?,0
Had a bit of cold sweats today — pretty sure it's just a panic attack. Better after drinking water.,0
Dealing with some chest tightness from sitting too long. I sat down and it went away after i rested.,0
Having sharp feeling faint and lightheadedness. Also difficulty forming words. I took antacids but it keeps coming back. Is this something to see a doctor about?,1
The confusion started after dehydration. I took antacids and it passed.,0
Slight stomach cramps all afternoon. Think it's a panic attack. It went away after I rested.,0
My husband has had terrible sweating for hours. They had a snack but nothing seems to be helping. Now can't catch my breath at all. Has anyone else experienced this?,1
"Crushing trembling that started suddenly, and can't catch my breath at all. I took ibuprofen but I'm really worried about it. Should I call my doctor?",1
Woke up with slight confusion. Probably sitting too long. Ibuprofen helped.,0
My coworker collapsed — sharp seeing spots and throat swelling. Rushed to the ER. My doctor said it was a panic attack and nothing to worry about.,0
The severe headache comes and goes when I'm stressed. Probably a panic attack. Much better after lying down.,0
Having slight chest pain that started a little while ago. I sat down. Has anyone else experienced this?,0
"Crushing seeing spots that started suddenly, and can't catch my breath at all. I took deep breaths but it keeps coming back. Does this sound serious?",1
My friend has a bit of racing heart. They drank some water but it hasn't fully resolved. Has anyone else experienced this?,0
Bad vomiting today. I took ibuprofen. Still not sure if this is normal. Any advice?,0
My mom has mild racing heart. They stepped outside for air but it hasn't fully resolved. Any advice?,0
Dealing with some nausea from the heat outside. I rested and it went away after i rested.,0
I stepped outside for air for the significant dizziness but when jaw pain alongside the chest pain started I went to the ER. After all the tests they cleared me — just seasonal allergies.,0
Both tingling and vomiting today — think it's too much caffeine. Better after drinking water.,0
Had terrible chest tightness with difficulty forming words so I went to the ER. The ER ran tests and said it was not sleeping enough. Discharged after two hours.,0
"Crushing severe headache and shortness of breath, plus jaw pain alongside the chest pain. Called an ambulance. The ER ran tests and said it was eating too fast. Discharged after two hours.",0
Experiencing slight chest tightness that came on earlier today. I had a snack. Not sure what to do.,0
My coworker says the vomiting has been there since yesterday. They stepped outside for air. Does this sound serious?,0
My child had concerning difficulty breathing and pain radiating to my left arm — we called 911. Turned out to be acid reflux. Feeling much better now.,0
"Sharp weakness and difficulty breathing, plus can't catch my breath at all. Called an ambulance. The ER ran tests and said it was too much caffeine. Discharged after two hours.",0
My wife says the heart pounding has been there since yesterday. They took deep breaths. Not sure what to do.,0
"Crushing vomiting and chest pressure, plus difficulty forming words. Called an ambulance. After all the tests they cleared me — just sitting too long.",0
Woke up with a bit of shortness of breath. Probably a stressful week. Better after drinking water.,0
My child has minor difficulty breathing. They lay down but it hasn't fully resolved. Does this sound serious?,0
Had slight arm pain today — pretty sure it's just anxiety. Passed on its own after an hour.,0
My friend says the arm pain has been there since yesterday. They took ibuprofen. Has anyone else experienced this?,1
The vision darkening at the edges plus moderate jaw pain had me in a panic. Went straight to urgent care. Turned out to be a panic attack. Feeling much better now.,0
Had a bit of heart pounding today — pretty sure it's just dehydration. Ibuprofen helped.,0
Sharp heart pounding and one side of my face feels strange came on suddenly. I was convinced it was serious. After all the tests they cleared me — just a panic attack.,0
Concerning chest pain today. I took deep breaths. Still not sure if this is normal. Has anyone else experienced this?,1
Concerning feeling faint and vision darkening at the edges came on suddenly. I was convinced it was serious. My doctor said it was seasonal allergies and nothing to worry about.,0
Moderate chest pressure and vision darkening at the edges came on suddenly. I was convinced it was serious. Doctors said it was just a hard workout. Back home and resting.,0
My coworker has had intense throbbing headache for hours. They lay down but it's getting worse. Now can't catch my breath at all. Is this something to see a doctor about?,1
"Bad heart pounding and feeling faint, plus throat swelling. Called an ambulance. Doctors said it was just seasonal allergies. Back home and resting.",0
Dealing with minor heart pounding from seasonal allergies. I drank some water and feeling better now.,0
Dealing with a bit of confusion from not sleeping enough. I took ibuprofen and ibuprofen helped.,0
Woke up with minor throbbing headache. Probably a hard workout. Feeling better now.,0
The seeing spots has been on and off all day. Possibly a panic attack. Is this something to see a doctor about?,0
My coworker has minor arm pain. They had a snack but it hasn't fully resolved. Does this sound serious?,0
The throbbing headache started after a panic attack. I had a snack and it passed.,0
Both dizziness and abdominal pain today — think it's stress. It went away after I rested.,0
